"","SPECIES","INTERACTIONS AS PREDATOR AT START","INTERACTIONS AS PREY AT START","INTERACTIONS AS PREDATOR AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY FUTURE EXTINCTIONS"
"74","Loxia curvirostra",0,49301,0,48661,0,48661,0,48450,0,48450
"75","Loxia scotica",0,220,0,220,0,220,0,220,0,220
"76","Lutra lutra",27533,4647,26468,4611,26468,4611,25981,4595,25981,4595
"77","Lymnocryptes minimus",0,17457,0,17362,0,17362,0,17298,0,17298
"78","Martes martes",236952,7512,226247,7493,225169,7493,224095,7480,222855,7480
"79","Melanitta fusca",0,9268,0,9252,0,9252,0,9240,0,9240
"80","Melanitta nigra",0,9322,0,9317,0,9317,0,9288,0,9288
"81","Meles meles",52605,6605,46047,6592,46047,6592,45184,6580,45184,6580
"82","Mergus serrator",1116,11617,1066,11611,1066,11338,1051,11599,1051,11239
"83","Microtus agrestis",0,125730,0,123570,0,123570,0,122845,0,122845
"84","Milvus milvus",63750,856,57919,850,57877,850,56675,843,56632,843
"85","Motacilla alba",0,106476,0,105056,0,105056,0,104481,0,104481
"86","Motacilla cinerea",0,54214,0,51802,0,51802,0,50646,0,50646
"87","Muscicapa striata",0,71493,0,70147,0,70147,0,69594,0,69594
"88","Mustela erminea",104188,22604,98496,22570,98495,22570,97621,22547,97617,22547
"89","Mustela nivalis",147566,65852,137643,65268,137639,65268,136023,64994,136016,64994
"90","Myodes glareolus",0,121732,0,120094,0,120094,0,119476,0,119476
"91","Myotis daubentonii",0,16904,0,16185,0,16185,0,15814,0,15814
"92","Myotis nattereri",0,9113,0,6948,0,6948,0,6599,0,6599
"93","Neomys fodiens",0,70797,0,62978,0,62978,0,61208,0,61208
"94","Numenius arquata",30897,21876,30156,21819,30156,21819,29972,21773,29972,21773
"95","Numenius phaeopus",0,10841,0,10834,0,10834,0,10829,0,10829
"96","Oenanthe oenanthe",0,58372,0,57804,0,57804,0,57498,0,57498
"97","Oryctolagus cuniculus",0,15003,0,14307,0,14307,0,14162,0,14162
"98","Pandion haliaetus",4232,1966,4199,1964,4199,1964,4190,1964,4190,1964
"99","Parus major",8535,67652,7575,66956,7575,66610,7391,66730,7391,66179
